,id,name,reviews,rating,zip,latitude,longitude,alias
3,0YYRwi1nNFdmQg52bfuIGA,Cornerstone Pets,42,4.5,07030,40.7472731173038,-74.0281185507774,petstore
4,FLZMAotStErwivVm8oT9mg,Love Thy Pet,44,5.0,11231,40.683582,-74.00093,petstore
5,L9SKVe8qIvL_ZUrWwitdfQ,Château le Woof,116,4.5,11106,40.7691527,-73.9353705,petstore
6,1Xg7UBwgEb-3Vc_kae31cA,Happy Feet Pet Shop,37,4.5,10019,40.7654228210449,-73.9909057617188,petstore
7,A5isQeSW76pMwnXwIpeZEg,NYC Pet,35,3.5,11205,40.69317,-73.96666,petstore
8,DMFCyvDRbJwdJMaew-_HZg,I Love My Pet Food and Supplies,21,4.5,11225,40.6659073,-73.9507388323545,petstore
9,SO2lJjaNpazzZA6fczHxzQ,Tropical Pets,9,3.0,11368,40.7463684082031,-73.8548202514648,petstore
10,lIqO1IOUr5lbWV-hQ82LnQ,Pet Promise,65,4.5,11201,40.70375,-73.98809,petstore
11,o7ja0NftF0t8bIQJJgGP4Q,Park slope Pet,10,5.0,11215,40.66958,-73.98772,petstore
12,iTpr61LrJBKE_xi65QJnFw,Pet Central,14,4.5,10025,40.7975973,-73.9699918,petstore
13,ymyU-LwOrIs3M0K3_YJr1g,Petco,62,3.5,10022,40.7564,-73.9677345392521,petstore
14,GThowpOJFqCX4tscP1nY8A,Brooklyn Paw House,90,5.0,11226,40.64076,-73.95567,groomer
15,JTYumBmfynOB9VOa1niJ-g,Zoomies,72,4.5,10014,40.7307599,-74.00659,petstore
16,NN88D1gbs4aWWS-e_vfV3g,Treats & Tips,46,4.0,11101,40.7547417283058,-73.9166144281626,pet_sitting
17,iyUVK2qNEX75HhhfyeM39g,Hound About Town,25,4.5,07302,40.7177585,-74.044498,petstore
18,poojCvc1erIhfi35j0wsRQ,Trixie's Pet Food Supplies & Accessories,48,4.5,11225,40.65964,-73.9604,petstore
19,nGJCCZJEF6UTmJMvhOmBaw,Le Pitou,87,3.0,11375,40.7175658,-73.8357179,groomer
20,QYrl_RVHe9ENQG5vyWiwUg,Animal Fare,40,4.5,11218,40.655,-73.97354,petstore
21,K0iR_a2f5ISP8NY663-P3A,Fussy Friends Pet Supply,67,4.5,07302,40.720703,-74.043839,petstore
22,Iiozty3NEZQ3L9bFuDrjhg,Petco,53,4.5,11362,40.76516484258,-73.72584541165666,petstore
23,qINp1PxYqe3z_RoeHgZa0A,Love Thy Beast,47,4.0,10003,40.7265701658019,-73.9884869344849,petstore
24,-jY2lSVPGmLhf_ekiZOjmQ,Happy Paws,135,3.5,10012,40.7253854,-73.9952721,groomer
25,Mk9HyBj3147jp5fA4kq68g,Pet Boutique & Supplies,37,4.0,11217,40.6781883239746,-73.9757690429688,petstore
26,eTqmm-qOh4nStAcR6Ezn7A,Zee.Dog - SoHo,15,4.5,10012,40.722013,-74.00001300000001,petstore
27,nKtdl4gdHnjeeS5C3HTTqg,Grand Ave Pet Supplies,2,5.0,11378,40.73,-73.88956,petstore
28,hCfb89uoLd1doFVPup3sNg,Acme Pet Food,72,4.0,11238,40.677454,-73.969245,petstore
29,3SRgNvOGtCEnEzHoCsxfEw,Spoiled Brats,56,4.5,10033,40.850806,-73.936663,petstore
30,EV0FXq9TRnom5XAkKTDz_Q,Beastie Bestie Pet Provisions,5,5.0,11238,40.67301,-73.95686,petstore
31,5y6yfi7eK-x_e5k6ffa9bg,NYC Pet,23,3.5,11215,40.6651725769043,-73.9827041625977,petstore
32,QD6_PM_Ivu-ixJEYA5w-zQ,Pet Emporium,28,4.5,11201,40.69523724442946,-73.99538845979713,petstore
33,M8lpSyffVwG6K2LoviTsEw,Petopia,34,3.5,10009,40.730766,-73.981645,petstore
34,FULPpi6P6Pdu0eRh0qAclg,Petco,87,3.0,11356,40.78303213851068,-73.83510744110397,pet_training
35,2ABowmcDEYPCm2ML9M3IGg,Monster Aquarium,92,4.0,11354,40.7557131,-73.8360704,aquariumservices
36,BiX5BWryDaEWqZbux0VSCQ,Petqua,48,4.0,10025,40.7960476,-73.9704849,petstore
37,swJrw6ffk0456Qv9no0Hkg,Puppy Paws,55,2.0,11417,40.6807098,-73.8440933,petstore
38,4P7XARsnFiC8PU_rZN6FwQ,Paradise Aquarium,31,3.0,11385,40.708518,-73.898452,petstore
39,T2zAV95n_BvYflq9LkIcIw,Pet Central,12,5.0,10023,40.78203,-73.98147,petstore
40,SU9o7rtGirFSf-u_j2U-9Q,Vinny's Pet Shop,57,5.0,11220,40.634151,-74.021949,petstore
41,LFBjdkKJ_e4N24QKrWpThA,Furry Paws,34,3.0,10128,40.78473,-73.94939,petstore
42,qw1Y3mJmGfDRqr_IChLI4w,Unleashed,50,4.0,11217,40.674788,-73.9752,petstore
43,7qbKTp_OTSSEvts--YcrCg,My Best Friend Too,51,5.0,11374,40.7270636334831,-73.8563203811646,groomer
44,2vn7uXrkryhhR5i_PV-I2w,Petopia,19,3.0,10026,40.803596182319524,-73.95385291334966,petstore
45,35iSDTTibWGlbnADaNafVg,Puptown,19,2.5,10065,40.763396,-73.967563,petstore
46,0f10uxF5VBk7Ae9EU7zw7A,Pet Central,7,4.5,10010,40.74739,-74.0009,petstore
47,8Z4GkUtgxSgpMox30kHN6g,Pet Central,15,4.5,10001,40.745015,-73.99092,petstore
48,eywiaoMKTc8JzM-oB0sKvw,Unleashed,38,3.5,11365,40.74063761596114,-73.784237,petstore
49,Z7JyZLsIQ8kJRK-N6vfMZw,Pet Central,18,3.5,10016,40.7473182,-73.9744042,petstore
0,jXUi-DoJq-tNcuHNxO-aIg,Dees Pet Food,14,4.5,11238,40.6755593,-73.959837,petstore
1,NE1fg0zBn_b3yeawjA5Vag,Little Creatures,30,3.5,10024,40.787606866576,-73.97126383116662,petstore
2,gHoyToejl4iKs0i-36WONQ,Weehawken Pet Shop,10,4.5,07086,40.7753299,-74.0195899,petstore
3,Df_NCn9u8yvttmMLwa-Wqg,The Barking Zoo,19,4.5,10011,40.7449685,-74.0022442,petstore
4,W6TsDZ5GetZjnVVa1Xl1Sg,PetSmart,50,2.5,10010,40.7425188458951,-73.989362222365,petstore
5,Ak77gl6rj4xTRJInn8ms-w,Kissena Aquarium,13,4.0,11355,40.749797,-73.818633,aquariumservices
6,ZZspmSUwRgPiFAlfijvTCQ,Pamper Ur Pets,13,4.5,10013,40.717837,-74.007084,petstore
7,5FVL8RyBu7iYurjQ9vYITw,PetSmart,132,3.0,11201,40.6890732,-73.990956,petstore
8,Nm1KriajvMx3PSHZMrliig,Pet Island II,15,4.5,10002,40.71645,-73.98891,petstore
9,fVTneUCf9qIA17tgi34pOQ,Citipups Chelsea,158,3.0,10011,40.7423739,-74.0003306,petstore
10,ooaKNz-zXjatWXPAp2nHEw,John's Puppy,3,5.0,11358,40.75758,-73.80465,petstore
11,Kuywn5IhWL3cSZ9RbICcJg,Dog Island City,57,4.5,11101,40.7499836792289,-73.943583382838,pet_sitting
12,8c7fEj3WRTgowXgqyzKtug,Happy Feet Pet Shop II,23,4.0,10016,40.74602,-73.97522,petstore
13,dlYdp1GS2JYYSt5pRbtBJQ,Petco,296,2.5,10003,40.7372,-73.9903,petstore
14,Q5RAOHkhxGf-IVaUp0us0Q,PetSmart,41,3.0,11236,40.644671,-73.913907,groomer
15,B-Bl5yNcDk5YAs3qNiMkFQ,NYC Pet,34,3.5,11215,40.6759867,-73.9807441,petstore
16,4mZ0frsN_0FLDn6Vz03e1Q,DOG & CO.,25,4.0,10019,40.7676892,-73.9820965,petstore
17,BQLBkiMAZJrx6poxchq-rg,Master Pups,39,4.5,11355,40.7540232,-73.8225417,groomer
18,1QJXPhB5STWwrED8s-nP4A,Happy Dogs Southside,69,5.0,11211,40.711188,-73.9594916,pet_sitting
19,Zl-kqoMQsgNtUvajHiynTw,Pet Delight,52,4.5,11226,40.6618014,-74.0005371,petstore
20,K2eTaZlWpNjsRKyzA3eMKA,Beastly Bite,30,3.0,11201,40.688896,-73.992492,petstore
21,3r40y5hGN9wpxKRkNd9V9A,The Seaport Paw,96,4.5,10038,40.7074799,-74.00163,groomer
22,CFo1R6v0duXgdMiLBiQbnw,American Kennels,140,2.5,10065,40.7639786,-73.967045,petstore
23,AdqE_BhJhls8HNP4g7KAGA,Parkside Pets,1,4.0,11415,40.70948,-73.83019,petstore
24,uBoaVbgLCPTwa2ab5890JA,Pet Central,8,3.5,10128,40.7841428299048,-73.9523330703378,petservices
25,5m6FfSFE7bL3Z8xqEYzBdw,Pet Supplies Plus,19,4.0,11030,40.790716,-73.7021102572535,petstore
26,ow-ybOe2YytYs2GrEtJqEw,Keith's Pet Necessities,15,4.5,11216,40.6853378,-73.954476,groomer
27,FgBCqGWvpGQUWV1EKUq0HA,Petco,114,3.0,10028,40.7796,-73.9555,petstore
28,7XEDcKrGaCAjfrz3EraZ2w,Korean K9 Rescue,130,4.0,11101,40.75036,-73.94478,animalshelters
29,HrYheSxz_KBOMoygPBg-3A,Venus & Dalila Pet Spa,38,4.0,11372,40.750416,-73.876334,groomer
30,XZnv6df1nek6K5m2oAx_GQ,The Left Paw,41,3.5,11040,40.73186,-73.68983,petstore
31,4xKVPE17lnT6EWI2s-0fmw,Nature's Reef & Reptile,14,4.5,11418,40.70113,-73.82602,localfishstores
32,fSPlNIIs40d7Hdmht6-tAw,Pet Market,14,3.0,10023,40.778884,-73.983046,petstore
33,ApondxUPthhlZMY5iVxnnw,Pet Central,12,4.0,10011,40.738693,-73.995323,petstore
34,Va8qNyu3CzEiioOc5PTs3g,Rocco and Jezebel For Pets,80,4.0,11201,40.6980881094933,-73.9924103021622,petstore
35,esLb_xHNGCzKbxUiEsaT3w,The Pet Market,29,3.0,10025,40.80348,-73.96753,petstore
36,pXFXPsSYdQnt4MZXCy9UrA,Little Creatures,10,4.0,10024,40.787199139595,-73.9753011614084,petstore
37,D8uxiM0XpKBiZX5SWZVO2w,Pets Boutique,24,4.5,11030,40.79671,-73.6987,groomer
38,OqqQQsdFIIzvfQmvuzW9CQ,Pet Market NYC,35,3.0,10019,40.7674233,-73.9849088,petstore
39,TW8P7ZeLbGubXBoM7Fm6-A,Paws And The City,22,4.5,11216,40.6729634116029,-73.951533883606,groomer
40,WmNgk3AyPmiFdY4gauJKvg,Pet Boutique and Supplies,9,4.5,11215,40.6645393,-73.9904709,petstore
41,_YhYGTGF_MsxyWjBIvcs0g,Pet Necessities,13,3.5,10021,40.7708625793457,-73.9577865600586,petstore
42,hyMCKl-mNS9OQ2ITaALD2w,Doggy Style,74,3.5,10003,40.732493,-73.994189,petstore
43,RijMd-1RQjEFTwJanUKMYw,Furry Fiends,45,5.0,10034,40.8681692369712,-73.9215837551476,petstore
44,TLd-tzgjpyJ_Kq6_9OYrbA,Canis Minor Gramercy Park,32,3.5,10003,40.7367606,-73.9848522,petstore
45,t6GlwcJqGFS4nK5mtp6xqg,Annella's Trails and Tails,67,5.0,11372,40.7493186390063,-73.88909284048835,dogwalkers
46,6j0xct-9a0jTRu5xXmAORg,Hell's Kitchen Pet,3,3.5,10036,40.7622451,-73.9953926,petstore
47,Twj04F1i8WB8V61lYOK0fQ,Citipups Village,113,2.5,10014,40.7338499,-74.00181,petstore
48,UR41hufVO6BWxzxJMBvWJg,Slope Pet Food Supplies,9,5.0,11215,40.6609612,-73.9934082,petstore
49,TrqHGeasH89G4l66AlbSCQ,Dog Days and Cat Nights,83,4.5,11415,40.7068732872001,-73.834127676237,pet_sitting
