business_id,business_alias,business_name,is_closed,url,review_count,category1,rating,longitude,latitude,zip_code
ymyU-LwOrIs3M0K3_YJr1g,petco-new-york-13,Petco,False,https://www.yelp.com/biz/petco-new-york-13?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,62,petstore,3.5,-73.96773453925209,40.7564,10022.0
RpOtosl5m46soAAb4PFM1A,spoiled-brats-new-york-2,Spoiled Brats,False,https://www.yelp.com/biz/spoiled-brats-new-york-2?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,57,petstore,4.5,-73.9887161254883,40.762321472168004,10019.0
P6s9pV8A69BV1fiCmGvr5Q,pet-central-new-york-5,Pet Central,False,https://www.yelp.com/biz/pet-central-new-york-5?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,27,petstore,4.0,-73.9826410263777,40.748107954859705,10016.0
1Xg7UBwgEb-3Vc_kae31cA,happy-feet-pet-shop-manhattan,Happy Feet Pet Shop,False,https://www.yelp.com/biz/happy-feet-pet-shop-manhattan?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,37,petstore,4.5,-73.99090576171879,40.7654228210449,10019.0
4nSfS6gn79VnrPlGbb0vIw,petopia-new-york-2,Petopia,False,https://www.yelp.com/biz/petopia-new-york-2?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,46,petstore,4.0,-73.98076999999999,40.742470000000004,10016.0
Bctl6Ha83u2BKwPkSfwxNw,pet-town-new-york,Pet Town,False,https://www.yelp.com/biz/pet-town-new-york?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,31,petstore,5.0,-73.94835,40.77778,10128.0
4mZ0frsN_0FLDn6Vz03e1Q,dog-and-co-new-york,DOG & CO.,False,https://www.yelp.com/biz/dog-and-co-new-york?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,25,petstore,4.0,-73.9820965,40.76768920000001,10019.0
Z7JyZLsIQ8kJRK-N6vfMZw,pet-central-new-york-11,Pet Central,False,https://www.yelp.com/biz/pet-central-new-york-11?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,18,petstore,3.5,-73.9744042,40.7473182,10016.0
mgmejPGqdZ2KNiaGZTUlRA,the-pet-bar-new-york-2,The Pet Bar,False,https://www.yelp.com/biz/the-pet-bar-new-york-2?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,34,petstore,4.5,-74.00115,40.7265299,10012.0
OqqQQsdFIIzvfQmvuzW9CQ,pet-market-nyc-new-york,Pet Market NYC,False,https://www.yelp.com/biz/pet-market-nyc-new-york?adjust_creative=0swGsCmmU0otwneHIcbf4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0swGsCmmU0otwneHIcbf4A,35,petstore,3.0,-73.9849088,40.7674233,10019.0
