business_id,business_alias,business_name,is_closed,url,review_count,category1,rating,longitude,latitude,zip_code
zk3Zdnn8lPhje-vVP0_1Cw,peter-detmold-park-dog-run-new-york,Peter Detmold Park Dog Run,False,https://www.yelp.com/biz/peter-detmold-park-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,11,dog_parks,3.5,-73.96366885449221,40.75364761623629,10022.0
bawT-Iq9pdS7m5K8fWNqnQ,de-witt-clinton-park-new-york,De Witt Clinton Park,False,https://www.yelp.com/biz/de-witt-clinton-park-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,30,dog_parks,3.5,-73.99428,40.768190000000004,10019.0
tbisrpRZeH_Bq3xo8DYawQ,robert-moses-park-dog-run-new-york,Robert Moses Park Dog Run,False,https://www.yelp.com/biz/robert-moses-park-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,13,dog_parks,3.0,-73.96969,40.74875,10017.0
dRLdd-eR81xr1XkJnJlrVw,madison-square-park-dog-run-new-york,Madison Square Park Dog Run,False,https://www.yelp.com/biz/madison-square-park-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,43,dog_parks,4.0,-73.98859620094301,40.74224984882721,10010.0
UB-15qOU9aWWFw950B8gcA,carl-schurz-big-dog-run-new-york,Carl Schurz Big Dog Run,False,https://www.yelp.com/biz/carl-schurz-big-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,5,dog_parks,4.0,-73.9448017,40.7749579,10079.0
SMNO-ycELnBWddkXpvaGYA,chelsea-waterside-dog-park-new-york,Chelsea Waterside Dog Park,False,https://www.yelp.com/biz/chelsea-waterside-dog-park-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,25,dog_parks,3.0,-73.99585449519292,40.7571578581545,10011.0
sDjrmQ30jTte2lIQNCAZzg,pier-84-dog-run-new-york,Pier 84 Dog Run,False,https://www.yelp.com/biz/pier-84-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,7,dog_parks,3.5,-74.0003996502518,40.7634845412097,10036.0
DZLvGo9LESan7-Ok5tLmFQ,87th-street-dog-run-new-york,87th Street Dog Run,False,https://www.yelp.com/biz/87th-street-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,17,dog_parks,4.0,-73.97986,40.79061,10024.0
1azRRBO2f0GTCCZr88PzXg,washington-square-park-large-dog-run-new-york,Washington Square Park Large Dog Run,False,https://www.yelp.com/biz/washington-square-park-large-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,29,dog_parks,4.0,-73.995589,40.730954,10011.0
aR6hPNBUpHSRGKm1cQdyLw,72nd-street-dog-run-new-york,72nd Street Dog Run,False,https://www.yelp.com/biz/72nd-street-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,12,dog_parks,3.5,-73.98651089945841,40.781156756711205,10023.0
2CVobcRYfU_1cXBOgMkncg,stuyvesant-square-dog-park-new-york-2,Stuyvesant Square Dog Park,False,https://www.yelp.com/biz/stuyvesant-square-dog-park-new-york-2?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,19,dog_parks,3.5,-73.98399353027341,40.7328523642071,10003.0
UC9DOjYENoSgvfOZrRjJ4Q,leroy-street-dog-run-new-york-2,Leroy Street Dog Run,False,https://www.yelp.com/biz/leroy-street-dog-run-new-york-2?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,7,dog_parks,3.5,-74.0109509264587,40.730316354901206,10014.0
_z1ry3L6q1WXkRtAIoflDg,pier-26-dog-run-new-york,Pier 26 Dog Run,False,https://www.yelp.com/biz/pier-26-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,7,dog_parks,4.5,-74.0093767,40.7200197,10013.0
SfRgulCVfpSl0NGfRLAXsA,bull-moose-dog-run-new-york,Bull Moose Dog Run,False,https://www.yelp.com/biz/bull-moose-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,10,dog_parks,2.5,-73.9737367630005,40.7822474617612,10024.0
uWuvtRJ9Pq8Ou-kOM2DA9Q,first-run-new-york,First Run,False,https://www.yelp.com/biz/first-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,22,dog_parks,4.0,-73.9784240722656,40.7259407043457,10009.0
QNfNXvyJuhX3VTQM6goVfQ,carl-schurz-dog-run-new-york,Carl Schurz Dog Run,False,https://www.yelp.com/biz/carl-schurz-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,28,dog_parks,4.0,-73.94402559846638,40.7742741884656,10079.0
BDPRNNJ3KMtw2g_hZsmm3A,tribeca-dog-run-new-york-2,Tribeca Dog Run,False,https://www.yelp.com/biz/tribeca-dog-run-new-york-2?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,6,dog_parks,4.5,-74.0122958841309,40.7214863997307,10013.0
IJrxQWigyv9gIVqp8sFxXg,washington-square-park-small-dog-run-new-york,Washington Square Park Small Dog Run,False,https://www.yelp.com/biz/washington-square-park-small-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,17,dog_parks,4.0,-73.99749109063599,40.7302544876219,10012.0
kdRNSuWmIOeXjD9GqkAFLg,pier-26-hudson-river-park-new-york,Pier 26 Hudson River Park,False,https://www.yelp.com/biz/pier-26-hudson-river-park-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,3,dog_parks,5.0,-74.0136520564556,40.72116106908479,10013.0
3y29_q0QsN9zRMMQxDrsIQ,union-square-dog-run-new-york,Union Square Dog Run,False,https://www.yelp.com/biz/union-square-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,23,dog_parks,3.0,-73.9909706279143,40.7355638249725,10003.0
x_RUrdavYjZp1qaEMVAq_g,saint-nicholas-park-dog-run-new-york,Saint Nicholas Park Dog Run,False,https://www.yelp.com/biz/saint-nicholas-park-dog-run-new-york?adjust_creative=Ng0xtiaMVpRrX_Vdmsay5Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ng0xtiaMVpRrX_Vdmsay5Q,18,dog_parks,4.0,-73.9482997013275,40.8176616319389,10032.0
